num_people,reservation_time,name,dine_time,meal_split,status
2,0,Alice Johnson,20,10:20:20:40:10,CONFIRMED
6,0,Bob Smith,20,10:20:20:40:10,CONFIRMED
4,0,Charlie Brown,20,10:20:20:40:10,CONFIRMED
8,0,Diana Prince,20,10:20:20:40:10,CONFIRMED
4,0,Elaine Thompson,20,10:20:20:40:10,CONFIRMED
2,30,Frank Underwood,20,10:20:20:40:10,CONFIRMED
6,30,Grace Hopper,20,10:20:20:40:10,CONFIRMED
2,30,Henry Ford,20,10:20:20:40:10,CONFIRMED
6,30,Ivy Green,20,10:20:20:40:10,CONFIRMED
4,30,Jack Daniels,20,10:20:20:40:10,CONFIRMED
4,30,Karen Gillan,20,10:20:20:40:10,CONFIRMED
4,60,Lauren Bacall,20,10:20:20:40:10,CONFIRMED
8,60,Morgan Freeman,20,10:20:20:40:10,CONFIRMED
6,60,Nina Williams,20,10:20:20:40:10,CONFIRMED
2,60,Oliver Twist,20,10:20:20:40:10,CONFIRMED
4,60,Paula Abdul,20,10:20:20:40:10,CONFIRMED
8,90,Quincy Jones,20,10:20:20:40:10,CONFIRMED
4,90,Rachel Green,20,10:20:20:40:10,CONFIRMED
4,90,Steve Rogers,20,10:20:20:40:10,CONFIRMED
4,90,Tina Turner,20,10:20:20:40:10,CONFIRMED
4,90,Ursula Andress,20,10:20:20:40:10,CONFIRMED
2,120,Vin Diesel,20,10:20:20:40:10,CONFIRMED
6,120,Will Smith,20,10:20:20:40:10,CONFIRMED
2,120,Xena Warrior,20,10:20:20:40:10,CONFIRMED
6,120,Yara Shahidi,20,10:20:20:40:10,CONFIRMED
8,120,Zara Phillips,20,10:20:20:40:10,CONFIRMED
4,150,Aaron Paul,20,10:20:20:40:10,CONFIRMED
8,150,Betty White,20,10:20:20:40:10,CONFIRMED
4,150,Chris Evans,20,10:20:20:40:10,CONFIRMED
8,150,Dwayne Johnson,20,10:20:20:40:10,CONFIRMED
2,180,Ella Fitzgerald,20,10:20:20:40:10,CONFIRMED
6,180,Fred Astaire,20,10:20:20:40:10,CONFIRMED
4,180,Gina Carano,20,10:20:20:40:10,CONFIRMED
4,180,Harrison Ford,20,10:20:20:40:10,CONFIRMED
8,180,Iris Apatow,20,10:20:20:40:10,CONFIRMED
4,210,Jackie Chan,20,10:20:20:40:10,CONFIRMED
4,210,Keanu Reeves,20,10:20:20:40:10,CONFIRMED
8,210,Lauren Bacall,20,10:20:20:40:10,CONFIRMED
8,210,Morgan Freeman,20,10:20:20:40:10,CONFIRMED
2,240,Nina Williams,20,10:20:20:40:10,CONFIRMED
6,240,Oliver Twist,20,10:20:20:40:10,CONFIRMED
4,240,Paula Abdul,20,10:20:20:40:10,CONFIRMED
4,240,Quincy Jones,20,10:20:20:40:10,CONFIRMED
8,240,Rachel Green,20,10:20:20:40:10,CONFIRMED
4,270,Steve Rogers,20,10:20:20:40:10,CONFIRMED
8,270,Tina Turner,20,10:20:20:40:10,CONFIRMED
4,270,Ursula Andress,20,10:20:20:40:10,CONFIRMED
8,270,Vin Diesel,20,10:20:20:40:10,CONFIRMED
2,300,Will Smith,20,10:20:20:40:10,CONFIRMED
6,300,Xena Warrior,20,10:20:20:40:10,CONFIRMED
4,300,Yara Shahidi,20,10:20:20:40:10,CONFIRMED
8,300,Zara Phillips,20,10:20:20:40:10,CONFIRMED
4,300,Aaron Paul,20,10:20:20:40:10,CONFIRMED
