num_people,arrival_time,name,dine_time,meal_split
6,0,Thomas Hall,10,10:20:20:40:10
6,0,Kenneth Williams,10,10:20:20:40:10
6,0,Sandra Ball,10,10:20:20:40:10
6,0,Daniel Barnett,10,10:20:20:40:10
6,0,Donald Bailey,10,10:20:20:40:10
6,0,Daryl Barker,10,10:20:20:40:10
6,0,Carl Hartman,10,10:20:20:40:10
6,0,Lee Taylor,10,10:20:20:40:10
6,0,Nicholas Chambers,10,10:20:20:40:10
6,0,Yvonne Shields,10,10:20:20:40:10
6,0,John Peters,10,10:20:20:40:10
6,0,John Davis,10,10:20:20:40:10
6,0,Felicia Woods,10,10:20:20:40:10
