num_people,arrival_time,name,dine_time,meal_split
phase_3.csv,7,Erika Mcdonald,20,10:20:20:40:10
6,12,Crystal Melendez,20,10:20:20:40:10
2,4,Amanda Robinson,20,10:20:20:40:10
2,13,Linda Keller,20,10:20:20:40:10
8,8,Eric Hicks DDS,20,10:20:20:40:10
4,15,Brandon Reed,20,10:20:20:40:10
2,10,Anthony Golden,20,10:20:20:40:10
4,4,Heather Chan,20,10:20:20:40:10
2,16,Terry Giles,20,10:20:20:40:10
4,12,Stephen Bates,20,10:20:20:40:10
2,8,Juan Burnett,20,10:20:20:40:10
6,12,Christine Barr,20,10:20:20:40:10
