num_people,arrival_time,name,dine_time,meal_split
6,30,Jamie Jones,20,10:20:20:40:10
4,15,Laurie Fields,20,10:20:20:40:10
4,45,Paige Mcgrath,20,10:20:20:40:10
4,45,Lisa Cordova,20,10:20:20:40:10
4,15,Dominic Wagner,20,10:20:20:40:10
4,30,Mary Reilly,20,10:20:20:40:10
4,15,Brandon Allen,20,10:20:20:40:10
4,15,Jonathan Shah,20,10:20:20:40:10
4,15,Ashley Jackson,20,10:20:20:40:10
4,15,Mark Blackburn,20,10:20:20:40:10
4,15,David Brock,20,10:20:20:40:10
6,15,Mark Schwartz,20,10:20:20:40:10
4,15,Andrea Robinson,20,10:20:20:40:10
6,15,Sheila Gutierrez,20,10:20:20:40:10
4,15,Amanda Johnson,20,10:20:20:40:10
4,45,Johnny Osborne,20,10:20:20:40:10
6,15,Larry Avery,20,10:20:20:40:10
4,30,Walter Murphy,20,10:20:20:40:10
4,30,Robert Cisneros,20,10:20:20:40:10
4,15,Kathleen Owen,20,10:20:20:40:10
4,30,Paula Smith,20,10:20:20:40:10
4,15,Brian Farrell,20,10:20:20:40:10
4,15,Anna Nunez,20,10:20:20:40:10
4,15,Lindsey Smith,20,10:20:20:40:10
6,60,Douglas Henderson,20,10:20:20:40:10
4,15,Tamara Edwards,20,10:20:20:40:10
6,15,Jose Bailey,20,10:20:20:40:10
